command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j64 -j64,0,1609.36,59378.35,20289.71,
cabal new-build clash-ghc --ghc-options=-j64 -j32,0,1601.88,59443.70,20265.70,
cabal new-build clash-ghc --ghc-options=-j64 -j16,0,1604.73,59454.88,20438.03,
cabal new-build clash-ghc --ghc-options=-j64 -j8,0,1667.25,62243.87,21742.65,
cabal new-build clash-ghc --ghc-options=-j64 -j4,0,1662.86,62400.23,21488.22,
cabal new-build clash-ghc --ghc-options=-j64 -j2,0,1039.59,21310.30,14071.66,
cabal new-build clash-ghc --ghc-options=-j64 -j1,0,1245.82,12982.42,13516.36,
cabal new-build clash-ghc --ghc-options=-j32 -j64,0,804.72,17470.56,7107.31,
cabal new-build clash-ghc --ghc-options=-j32 -j32,0,804.32,17524.14,7210.67,
cabal new-build clash-ghc --ghc-options=-j32 -j16,0,807.52,17750.82,7342.64,
cabal new-build clash-ghc --ghc-options=-j32 -j8,0,790.60,16864.40,7191.47,
cabal new-build clash-ghc --ghc-options=-j32 -j4,0,627.64,6287.86,5490.95,
cabal new-build clash-ghc --ghc-options=-j32 -j2,1,396.36,3395.10,3647.39,
cabal new-build clash-ghc --ghc-options=-j32 -j1,0,1073.28,4540.98,4983.57,
cabal new-build clash-ghc --ghc-options=-j16 -j64,0,545.02,4619.89,2674.37,
cabal new-build clash-ghc --ghc-options=-j16 -j32,0,546.49,4536.95,2651.90,
cabal new-build clash-ghc --ghc-options=-j16 -j16,0,541.18,4405.69,2635.74,
cabal new-build clash-ghc --ghc-options=-j16 -j8,0,520.83,2668.94,2432.26,
cabal new-build clash-ghc --ghc-options=-j16 -j4,0,533.87,2395.59,2307.36,
cabal new-build clash-ghc --ghc-options=-j16 -j2,0,650.09,2319.02,2170.74,
cabal new-build clash-ghc --ghc-options=-j16 -j1,0,969.67,2318.11,2109.04,
cabal new-build clash-ghc --ghc-options=-j8 -j64,0,478.83,2035.98,1121.47,
cabal new-build clash-ghc --ghc-options=-j8 -j32,0,478.63,2028.55,1116.34,
cabal new-build clash-ghc --ghc-options=-j8 -j16,0,475.07,1785.03,1091.45,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,477.23,1653.52,999.68,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,493.74,1614.67,946.63,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,616.68,1579.58,937.21,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,905.34,1501.86,906.20,
cabal new-build clash-ghc --ghc-options=-j4 -j64,0,458.89,1498.76,493.25,
cabal new-build clash-ghc --ghc-options=-j4 -j32,0,457.19,1487.94,482.98,
cabal new-build clash-ghc --ghc-options=-j4 -j16,0,456.53,1417.73,453.63,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,466.23,1349.83,418.12,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,480.15,1297.93,399.98,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,581.29,1234.73,378.80,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,884.97,1215.34,380.43,
cabal new-build clash-ghc --ghc-options=-j2 -j64,0,453.63,1271.40,192.32,
cabal new-build clash-ghc --ghc-options=-j2 -j32,0,469.19,1287.11,197.11,
cabal new-build clash-ghc --ghc-options=-j2 -j16,0,456.83,1218.04,177.94,
cabal new-build clash-ghc --ghc-options=-j2 -j8,0,464.01,1171.23,164.70,
cabal new-build clash-ghc --ghc-options=-j2 -j4,0,475.20,1120.60,153.30,
cabal new-build clash-ghc --ghc-options=-j2 -j2,0,591.58,1095.46,155.38,
cabal new-build clash-ghc --ghc-options=-j2 -j1,0,873.47,1036.98,135.61,
cabal new-build clash-ghc --ghc-options=-j1 -j64,0,492.24,1126.28,79.39,
cabal new-build clash-ghc --ghc-options=-j1 -j32,0,499.30,1105.93,78.34,
cabal new-build clash-ghc --ghc-options=-j1 -j16,0,494.23,1070.15,70.13,
cabal new-build clash-ghc --ghc-options=-j1 -j8,0,494.46,1034.59,64.47,
