command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j32 -j32,0,962.10,8500.19,2574.89,
cabal new-build clash-ghc --ghc-options=-j32 -j16,0,957.60,8448.44,2587.16,
cabal new-build clash-ghc --ghc-options=-j32 -j8,0,982.03,8706.18,2735.36,
cabal new-build clash-ghc --ghc-options=-j32 -j4,0,913.20,7817.31,2668.12,
cabal new-build clash-ghc --ghc-options=-j32 -j2,0,698.08,3370.31,2130.73,
cabal new-build clash-ghc --ghc-options=-j32 -j1,0,870.05,1981.39,2105.44,
cabal new-build clash-ghc --ghc-options=-j16 -j32,0,935.06,8158.10,2523.39,
cabal new-build clash-ghc --ghc-options=-j16 -j16,0,937.08,8168.78,2546.62,
cabal new-build clash-ghc --ghc-options=-j16 -j8,0,948.12,8232.32,2675.13,
cabal new-build clash-ghc --ghc-options=-j16 -j4,0,887.22,7462.78,2579.81,
cabal new-build clash-ghc --ghc-options=-j16 -j2,0,682.55,3195.90,2116.35,
cabal new-build clash-ghc --ghc-options=-j16 -j1,0,857.42,1901.98,2067.57,
cabal new-build clash-ghc --ghc-options=-j8 -j32,0,576.06,3207.71,1096.73,
cabal new-build clash-ghc --ghc-options=-j8 -j16,0,572.74,3210.32,1097.11,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,556.87,2958.96,1105.72,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,496.71,1821.19,996.64,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,559.04,1399.63,897.23,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,801.96,1259.23,786.90,
cabal new-build clash-ghc --ghc-options=-j4 -j32,0,473.21,1791.54,482.95,
cabal new-build clash-ghc --ghc-options=-j4 -j16,0,471.19,1773.97,476.74,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,466.52,1528.01,485.60,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,467.99,1315.29,423.07,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,540.84,1152.51,346.76,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,792.49,1081.25,317.16,
cabal new-build clash-ghc --ghc-options=-j2 -j32,0,462.34,1447.15,195.22,
cabal new-build clash-ghc --ghc-options=-j2 -j16,0,459.84,1419.30,204.03,
