command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j16,0,372.79,1296.07,95.38,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j8,0,375.20,1208.24,81.07,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j4,0,383.78,1093.89,63.43,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j2,0,448.20,997.49,53.71,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j1,0,642.10,937.02,47.75,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j16,0,377.97,1366.90,99.07,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j8,0,378.10,1271.20,84.07,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j4,0,387.25,1148.22,66.69,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j2,0,450.80,1039.76,54.61,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j1,0,643.22,968.09,47.38,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j16,0,383.93,1317.82,81.60,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j8,0,386.91,1227.90,68.95,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j4,0,392.67,1103.33,54.45,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j2,0,459.97,992.94,43.29,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j1,0,660.28,926.72,39.27,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j16,0,410.44,1256.11,74.07,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j8,0,412.15,1163.78,57.82,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j4,0,420.26,1045.44,46.82,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j2,0,490.44,944.76,38.27,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j1,0,712.79,890.70,34.04,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j16,0,475.12,1134.06,61.23,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j8,0,477.31,1039.00,49.73,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j4,0,488.20,943.38,39.14,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j2,0,590.75,867.90,34.97,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j1,0,876.63,836.16,30.81,
cabal new-run -- testsuite -p clash -j16,0,157.87,2305.54,177.31,
cabal new-run -- testsuite -p clash -j8,0,163.11,1195.61,100.74,
cabal new-run -- testsuite -p clash -j4,0,221.46,814.58,69.48,
cabal new-run -- testsuite -p clash -j2,0,381.30,717.20,61.39,
cabal new-run -- testsuite -p clash -j1,0,727.95,748.05,65.68,
cabal new-install stack-1.9.3 -j16,0,368.56,2323.10,194.98,GHC_THREADS=16
cabal new-install stack-1.9.3 -j8,0,360.02,2234.51,181.37,GHC_THREADS=16
cabal new-install stack-1.9.3 -j4,0,413.75,1881.44,133.54,GHC_THREADS=16
cabal new-install stack-1.9.3 -j2,0,568.74,1627.84,104.06,GHC_THREADS=16
cabal new-install stack-1.9.3 -j1,0,910.40,1498.28,86.60,GHC_THREADS=16
cabal new-install stack-1.9.3 -j16,0,378.04,2466.62,212.37,GHC_THREADS=8
cabal new-install stack-1.9.3 -j8,0,367.23,2373.35,194.25,GHC_THREADS=8
cabal new-install stack-1.9.3 -j4,0,413.29,1983.42,138.67,GHC_THREADS=8
cabal new-install stack-1.9.3 -j2,0,570.19,1689.69,106.00,GHC_THREADS=8
cabal new-install stack-1.9.3 -j1,0,908.99,1542.25,86.23,GHC_THREADS=8
cabal new-install stack-1.9.3 -j16,0,382.38,2327.17,170.45,GHC_THREADS=4
cabal new-install stack-1.9.3 -j8,0,371.64,2245.51,149.20,GHC_THREADS=4
cabal new-install stack-1.9.3 -j4,0,421.56,1871.14,107.41,GHC_THREADS=4
cabal new-install stack-1.9.3 -j2,0,582.76,1572.31,80.26,GHC_THREADS=4
cabal new-install stack-1.9.3 -j1,0,935.13,1433.45,66.83,GHC_THREADS=4
cabal new-install stack-1.9.3 -j16,0,417.87,2207.32,138.62,GHC_THREADS=2
cabal new-install stack-1.9.3 -j8,0,412.34,2036.26,114.59,GHC_THREADS=2
cabal new-install stack-1.9.3 -j4,0,461.94,1725.54,86.29,GHC_THREADS=2
cabal new-install stack-1.9.3 -j2,0,632.77,1466.14,66.46,GHC_THREADS=2
cabal new-install stack-1.9.3 -j1,0,1030.75,1354.79,57.21,GHC_THREADS=2
cabal new-install stack-1.9.3 -j16,0,542.46,1915.97,114.71,GHC_THREADS=1
cabal new-install stack-1.9.3 -j8,0,539.72,1684.65,89.63,GHC_THREADS=1
cabal new-install stack-1.9.3 -j4,0,561.42,1497.56,70.18,GHC_THREADS=1
cabal new-install stack-1.9.3 -j2,0,791.65,1317.76,58.09,GHC_THREADS=1
cabal new-install stack-1.9.3 -j1,0,1314.90,1255.85,50.62,GHC_THREADS=1
