command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j64 -j64,0,1643.28,60539.58,20991.06,
cabal new-build clash-ghc --ghc-options=-j64 -j32,0,1651.30,61361.28,21103.95,
cabal new-build clash-ghc --ghc-options=-j64 -j16,0,1630.92,60038.00,20962.36,
cabal new-build clash-ghc --ghc-options=-j64 -j8,0,1722.98,64075.95,22847.02,
cabal new-build clash-ghc --ghc-options=-j64 -j4,0,1702.78,63416.68,22230.65,
cabal new-build clash-ghc --ghc-options=-j64 -j2,0,1085.74,22811.90,14723.60,
cabal new-build clash-ghc --ghc-options=-j64 -j1,0,1286.47,13878.21,14043.53,
cabal new-build clash-ghc --ghc-options=-j32 -j64,0,821.93,17539.50,7380.94,
cabal new-build clash-ghc --ghc-options=-j32 -j32,0,820.58,17904.73,7382.09,
cabal new-build clash-ghc --ghc-options=-j32 -j16,0,834.88,18390.80,7678.79,
cabal new-build clash-ghc --ghc-options=-j32 -j8,0,801.60,16643.59,7323.63,
cabal new-build clash-ghc --ghc-options=-j32 -j4,0,641.57,6605.30,5679.42,
cabal new-build clash-ghc --ghc-options=-j32 -j2,0,752.44,5093.85,5587.27,
cabal new-build clash-ghc --ghc-options=-j32 -j1,0,1091.49,4760.52,5134.84,
cabal new-build clash-ghc --ghc-options=-j16 -j64,0,556.74,4762.96,2775.05,
cabal new-build clash-ghc --ghc-options=-j16 -j32,0,555.52,4704.04,2756.25,
cabal new-build clash-ghc --ghc-options=-j16 -j16,0,556.61,4460.32,2737.08,
cabal new-build clash-ghc --ghc-options=-j16 -j8,0,530.51,2729.39,2489.69,
cabal new-build clash-ghc --ghc-options=-j16 -j4,0,554.72,2493.09,2384.89,
cabal new-build clash-ghc --ghc-options=-j16 -j2,0,673.33,2409.07,2265.39,
cabal new-build clash-ghc --ghc-options=-j16 -j1,0,997.53,2412.65,2176.39,
cabal new-build clash-ghc --ghc-options=-j8 -j64,0,491.61,2104.62,1177.05,
cabal new-build clash-ghc --ghc-options=-j8 -j32,0,487.74,2093.98,1176.07,
cabal new-build clash-ghc --ghc-options=-j8 -j16,0,493.73,1863.41,1156.14,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,493.37,1717.29,1058.91,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,512.07,1668.88,1010.77,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,629.98,1618.14,979.60,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,927.36,1542.19,943.24,
cabal new-build clash-ghc --ghc-options=-j4 -j64,0,477.42,1563.44,521.60,
cabal new-build clash-ghc --ghc-options=-j4 -j32,0,473.08,1547.38,525.48,
cabal new-build clash-ghc --ghc-options=-j4 -j16,0,470.05,1462.33,474.62,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,479.78,1391.18,445.82,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,490.68,1345.18,428.52,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,603.59,1285.08,409.83,
cabal new-build clash-ghc --ghc-options=-j4 -j1,1,520.89,695.64,251.67,
cabal new-build clash-ghc --ghc-options=-j2 -j64,0,475.90,1370.79,227.94,
cabal new-build clash-ghc --ghc-options=-j2 -j32,0,460.95,1339.16,216.15,
cabal new-build clash-ghc --ghc-options=-j2 -j16,0,460.34,1243.10,190.71,
cabal new-build clash-ghc --ghc-options=-j2 -j8,0,476.21,1195.70,179.12,
cabal new-build clash-ghc --ghc-options=-j2 -j4,0,494.12,1164.67,169.49,
cabal new-build clash-ghc --ghc-options=-j2 -j2,0,597.09,1104.97,158.10,
cabal new-build clash-ghc --ghc-options=-j2 -j1,0,887.69,1053.19,143.65,
cabal new-build clash-ghc --ghc-options=-j1 -j64,0,507.23,1171.49,91.26,
cabal new-build clash-ghc --ghc-options=-j1 -j32,0,501.97,1157.32,87.54,
cabal new-build clash-ghc --ghc-options=-j1 -j16,0,496.10,1090.31,78.83,
cabal new-build clash-ghc --ghc-options=-j1 -j8,0,508.98,1045.38,71.78,
cabal new-build clash-ghc --ghc-options=-j1 -j4,0,535.48,1004.36,67.45,
cabal new-build clash-ghc --ghc-options=-j1 -j2,0,677.84,968.47,70.10,
cabal new-build clash-ghc --ghc-options=-j1 -j1,0,996.22,934.67,53.77,
cabal new-run -- testsuite -p clash -j64,1,91.85,5003.72,623.77,
cabal new-run -- testsuite -p clash -j32,1,70.54,1997.00,234.16,
cabal new-run -- testsuite -p clash -j16,1,80.27,1181.70,143.03,
cabal new-run -- testsuite -p clash -j8,1,120.97,895.88,108.13,
cabal new-run -- testsuite -p clash -j4,1,219.02,830.44,97.95,
cabal new-run -- testsuite -p clash -j2,1,426.92,916.80,114.16,
cabal new-run -- testsuite -p clash -j1,1,833.84,1006.55,122.20,
cabal new-install stack -j64,1,3175.30,144111.24,44687.29,GHC_THREADS=64
cabal new-install stack -j32,1,3174.07,144117.83,44737.81,GHC_THREADS=64
cabal new-install stack -j16,1,3264.22,147826.38,46451.54,GHC_THREADS=64
cabal new-install stack -j8,1,3468.31,155887.62,51660.00,GHC_THREADS=64
cabal new-install stack -j4,1,3530.38,158626.62,51791.13,GHC_THREADS=64
cabal new-install stack -j2,1,1665.66,42905.66,26640.61,GHC_THREADS=64
cabal new-install stack -j1,1,1998.61,24262.39,25826.14,GHC_THREADS=64
cabal new-install stack -j64,1,1158.79,40961.46,14673.69,GHC_THREADS=32
cabal new-install stack -j32,1,1178.50,41876.54,15005.47,GHC_THREADS=32
cabal new-install stack -j16,1,1236.00,43841.31,16229.76,GHC_THREADS=32
cabal new-install stack -j8,1,1316.66,47746.21,17419.54,GHC_THREADS=32
cabal new-install stack -j4,1,799.55,14775.45,11057.87,GHC_THREADS=32
cabal new-install stack -j2,1,1023.78,9110.82,10521.30,GHC_THREADS=32
cabal new-install stack -j1,1,1665.91,8332.41,9718.43,GHC_THREADS=32
cabal new-install stack -j64,1,635.57,11654.40,5617.11,GHC_THREADS=16
cabal new-install stack -j32,1,636.56,11822.27,5658.56,GHC_THREADS=16
cabal new-install stack -j16,1,635.66,12136.68,5931.17,GHC_THREADS=16
cabal new-install stack -j8,1,526.14,5890.69,5054.59,GHC_THREADS=16
cabal new-install stack -j4,1,601.49,4290.10,4501.60,GHC_THREADS=16
cabal new-install stack -j2,1,891.05,4108.81,4253.26,GHC_THREADS=16
cabal new-install stack -j1,1,1478.78,4047.78,3996.71,GHC_THREADS=16
cabal new-install stack -j64,1,494.22,4886.27,2395.51,GHC_THREADS=8
cabal new-install stack -j32,1,489.91,4787.97,2419.46,GHC_THREADS=8
cabal new-install stack -j16,1,473.31,3536.24,2364.17,GHC_THREADS=8
cabal new-install stack -j8,1,468.16,3041.85,2102.68,GHC_THREADS=8
cabal new-install stack -j4,1,547.13,2742.95,1844.14,GHC_THREADS=8
cabal new-install stack -j2,1,819.57,2625.93,1751.91,GHC_THREADS=8
cabal new-install stack -j1,1,1353.72,2480.58,1691.11,GHC_THREADS=8
cabal new-install stack -j64,1,457.53,3120.59,1147.79,GHC_THREADS=4
cabal new-install stack -j32,1,450.36,2975.91,1145.36,GHC_THREADS=4
cabal new-install stack -j16,1,444.75,2587.68,962.42,GHC_THREADS=4
cabal new-install stack -j8,1,447.72,2346.81,839.11,GHC_THREADS=4
cabal new-install stack -j4,1,530.06,2162.23,769.19,GHC_THREADS=4
cabal new-install stack -j2,1,783.95,2040.92,729.93,GHC_THREADS=4
cabal new-install stack -j1,1,1311.03,1936.19,691.30,GHC_THREADS=4
cabal new-install stack -j64,1,465.39,2490.99,477.65,GHC_THREADS=2
cabal new-install stack -j32,1,468.56,2393.12,459.33,GHC_THREADS=2
cabal new-install stack -j16,1,456.46,2140.30,365.07,GHC_THREADS=2
cabal new-install stack -j8,1,462.93,1964.85,324.04,GHC_THREADS=2
cabal new-install stack -j4,1,525.21,1827.52,295.50,GHC_THREADS=2
cabal new-install stack -j2,1,788.94,1727.48,277.93,GHC_THREADS=2
cabal new-install stack -j1,1,1300.99,1619.34,240.18,GHC_THREADS=2
cabal new-install stack -j64,1,561.40,2080.33,202.88,GHC_THREADS=1
cabal new-install stack -j32,1,570.69,1948.17,166.46,GHC_THREADS=1
cabal new-install stack -j16,1,569.75,1757.17,130.54,GHC_THREADS=1
