command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j8,0,318.05,1081.74,76.60,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j4,0,315.67,986.76,64.95,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j2,0,355.18,843.02,50.63,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j1,0,496.53,750.13,38.48,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j8,0,310.37,972.34,52.46,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j4,0,306.88,876.79,43.92,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j2,0,353.66,761.76,38.35,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j1,0,502.97,693.29,31.84,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j8,0,325.01,912.41,44.57,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j4,0,326.30,814.80,37.94,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j2,0,372.37,713.12,32.51,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j1,0,544.68,672.48,30.77,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j8,0,364.68,833.15,40.58,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j4,0,367.03,713.22,32.98,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j2,0,455.52,663.72,29.82,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j1,0,673.04,638.65,26.88,
cabal new-run -- testsuite -p clash -j8,0,184.04,1343.78,97.28,
cabal new-run -- testsuite -p clash -j4,0,199.67,729.11,65.52,
cabal new-run -- testsuite -p clash -j2,0,323.10,596.72,56.57,
cabal new-run -- testsuite -p clash -j1,0,605.62,572.99,55.27,
cabal new-install stack-1.9.3 -j8,0,369.44,1988.24,154.37,GHC_THREADS=8
cabal new-install stack-1.9.3 -j4,0,379.19,1760.72,132.00,GHC_THREADS=8
cabal new-install stack-1.9.3 -j2,0,462.44,1398.79,93.05,GHC_THREADS=8
cabal new-install stack-1.9.3 -j1,0,709.28,1217.19,71.95,GHC_THREADS=8
cabal new-install stack-1.9.3 -j8,0,346.59,1771.78,107.26,GHC_THREADS=4
cabal new-install stack-1.9.3 -j4,0,355.58,1519.22,88.69,GHC_THREADS=4
cabal new-install stack-1.9.3 -j2,0,458.00,1227.14,65.41,GHC_THREADS=4
cabal new-install stack-1.9.3 -j1,0,719.24,1081.66,55.71,GHC_THREADS=4
cabal new-install stack-1.9.3 -j8,0,348.91,1638.30,84.41,GHC_THREADS=2
cabal new-install stack-1.9.3 -j4,0,365.64,1391.28,69.17,GHC_THREADS=2
cabal new-install stack-1.9.3 -j2,0,487.47,1108.27,56.54,GHC_THREADS=2
cabal new-install stack-1.9.3 -j1,0,789.06,1029.61,48.11,GHC_THREADS=2
cabal new-install stack-1.9.3 -j8,0,425.25,1399.95,70.27,GHC_THREADS=1
cabal new-install stack-1.9.3 -j4,0,427.33,1136.13,58.18,GHC_THREADS=1
cabal new-install stack-1.9.3 -j2,0,610.40,1013.86,50.01,GHC_THREADS=1
cabal new-install stack-1.9.3 -j1,0,1013.87,964.63,44.43,GHC_THREADS=1
make -j8,0,1331.31,6507.30,352.06,
make -j4,0,1444.72,4443.60,270.88,
make -j2,0,2192.25,3880.56,226.84,
make -j1,0,3883.82,3654.51,210.67,
./validate --no-clean --testsuite-only,0,349.64,2136.12,307.38,THREADS=8
./validate --no-clean --testsuite-only,0,472.15,1500.45,244.73,THREADS=4
./validate --no-clean --testsuite-only,0,787.61,1242.32,210.14,THREADS=2
./validate --no-clean --testsuite-only,0,1469.93,1158.34,201.59,THREADS=1
