command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j32 -j32,0,940.56,8423.07,2423.93,
cabal new-build clash-ghc --ghc-options=-j32 -j16,0,940.42,8395.87,2440.14,
cabal new-build clash-ghc --ghc-options=-j32 -j8,0,966.74,8730.31,2568.41,
cabal new-build clash-ghc --ghc-options=-j32 -j4,0,933.87,8248.35,2606.90,
cabal new-build clash-ghc --ghc-options=-j32 -j2,0,690.29,3409.35,2035.24,
cabal new-build clash-ghc --ghc-options=-j32 -j1,0,832.81,1920.72,1910.40,
cabal new-build clash-ghc --ghc-options=-j16 -j32,0,912.97,8064.85,2363.21,
cabal new-build clash-ghc --ghc-options=-j16 -j16,0,921.24,8132.54,2398.18,
cabal new-build clash-ghc --ghc-options=-j16 -j8,0,948.16,8478.85,2541.40,
cabal new-build clash-ghc --ghc-options=-j16 -j4,0,904.63,7902.78,2534.08,
cabal new-build clash-ghc --ghc-options=-j16 -j2,0,671.80,3231.25,2000.33,
cabal new-build clash-ghc --ghc-options=-j16 -j1,0,819.83,1830.01,1885.39,
cabal new-build clash-ghc --ghc-options=-j8 -j32,0,563.62,3214.97,1034.48,
cabal new-build clash-ghc --ghc-options=-j8 -j16,0,567.19,3228.96,1052.88,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,549.40,2985.23,1060.53,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,484.34,1788.80,949.20,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,540.32,1352.76,821.06,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,760.90,1202.85,702.72,
cabal new-build clash-ghc --ghc-options=-j4 -j32,0,465.48,1783.79,464.19,
cabal new-build clash-ghc --ghc-options=-j4 -j16,0,464.33,1771.61,470.83,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,450.43,1510.72,467.80,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,457.07,1285.77,402.88,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,522.05,1117.06,316.70,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,752.72,1036.53,286.19,
cabal new-build clash-ghc --ghc-options=-j2 -j32,0,454.41,1420.87,191.86,
cabal new-build clash-ghc --ghc-options=-j2 -j16,0,451.96,1405.33,198.54,
cabal new-build clash-ghc --ghc-options=-j2 -j8,0,456.04,1287.13,177.72,
cabal new-build clash-ghc --ghc-options=-j2 -j4,0,459.64,1123.30,141.98,
cabal new-build clash-ghc --ghc-options=-j2 -j2,0,536.68,1004.38,118.35,
cabal new-build clash-ghc --ghc-options=-j2 -j1,0,781.92,944.93,106.06,
cabal new-build clash-ghc --ghc-options=-j1 -j32,0,491.53,1246.28,68.29,
cabal new-build clash-ghc --ghc-options=-j1 -j16,0,490.95,1240.69,68.48,
cabal new-build clash-ghc --ghc-options=-j1 -j8,0,492.50,1099.22,51.40,
cabal new-build clash-ghc --ghc-options=-j1 -j4,0,502.98,981.58,40.13,
cabal new-build clash-ghc --ghc-options=-j1 -j2,0,610.48,898.16,34.91,
cabal new-build clash-ghc --ghc-options=-j1 -j1,0,904.57,863.67,30.84,
cabal new-run -- testsuite -p clash -j32,1,178.61,2628.31,199.50,
cabal new-run -- testsuite -p clash -j16,1,174.92,2551.14,202.18,
cabal new-run -- testsuite -p clash -j8,1,168.78,1236.61,106.91,
cabal new-run -- testsuite -p clash -j4,1,223.72,820.50,72.80,
cabal new-run -- testsuite -p clash -j2,1,380.21,706.56,65.04,
cabal new-run -- testsuite -p clash -j1,1,731.22,730.47,67.13,
cabal new-install stack -j32,1,1681.22,19723.76,4888.45,GHC_THREADS=32
cabal new-install stack -j16,1,1672.37,19582.07,4879.47,GHC_THREADS=32
cabal new-install stack -j8,1,1792.18,20938.16,5409.20,GHC_THREADS=32
cabal new-install stack -j4,1,1656.00,18599.45,5270.05,GHC_THREADS=32
cabal new-install stack -j2,1,1002.80,6318.37,3718.01,GHC_THREADS=32
cabal new-install stack -j1,1,1238.15,3218.01,3547.75,GHC_THREADS=32
cabal new-install stack -j32,1,1669.29,19521.27,4894.84,GHC_THREADS=16
cabal new-install stack -j16,1,1657.05,19327.78,4849.72,GHC_THREADS=16
cabal new-install stack -j8,1,1768.33,20524.36,5407.44,GHC_THREADS=16
cabal new-install stack -j4,1,1620.53,18113.01,5196.76,GHC_THREADS=16
cabal new-install stack -j2,1,989.97,6214.85,3661.07,GHC_THREADS=16
cabal new-install stack -j1,1,1229.81,3137.25,3532.15,GHC_THREADS=16
cabal new-install stack -j32,1,753.14,7063.48,1997.58,GHC_THREADS=8
cabal new-install stack -j16,1,763.13,7177.94,2059.69,GHC_THREADS=8
cabal new-install stack -j8,1,768.30,7143.79,2218.54,GHC_THREADS=8
cabal new-install stack -j4,1,598.81,3650.62,1876.61,GHC_THREADS=8
cabal new-install stack -j2,1,718.18,2286.66,1567.39,GHC_THREADS=8
cabal new-install stack -j1,1,1116.43,1964.85,1291.25,GHC_THREADS=8
cabal new-install stack -j32,1,520.30,3513.69,919.29,GHC_THREADS=4
cabal new-install stack -j16,1,513.61,3545.21,932.72,GHC_THREADS=4
cabal new-install stack -j8,1,473.95,3016.36,996.90,GHC_THREADS=4
cabal new-install stack -j4,1,510.10,2253.42,822.83,GHC_THREADS=4
cabal new-install stack -j2,1,684.90,1808.76,594.26,GHC_THREADS=4
cabal new-install stack -j1,1,1100.30,1633.83,519.15,GHC_THREADS=4
cabal new-install stack -j32,1,486.35,2563.91,371.89,GHC_THREADS=2
cabal new-install stack -j16,1,477.19,2540.90,393.32,GHC_THREADS=2
cabal new-install stack -j8,1,468.20,2331.61,367.38,GHC_THREADS=2
cabal new-install stack -j4,1,506.72,1888.63,275.33,GHC_THREADS=2
cabal new-install stack -j2,1,704.05,1581.21,205.12,GHC_THREADS=2
cabal new-install stack -j1,1,1153.63,1456.40,187.10,GHC_THREADS=2
cabal new-install stack -j32,1,576.48,2126.05,119.48,GHC_THREADS=1
cabal new-install stack -j16,1,571.82,2146.77,129.99,GHC_THREADS=1
cabal new-install stack -j8,1,564.91,1820.72,91.57,GHC_THREADS=1
cabal new-install stack -j4,1,583.07,1578.90,67.79,GHC_THREADS=1
cabal new-install stack -j2,1,822.04,1377.37,55.92,GHC_THREADS=1
cabal new-install stack -j1,1,1367.69,1307.96,50.65,GHC_THREADS=1
make -j32,0,1688.95,9810.93,643.76,
make -j16,0,1683.62,9747.38,627.52,
make -j8,0,1710.38,7963.71,472.91,
make -j4,0,2062.06,6405.85,343.65,
make -j2,0,3019.73,5375.35,282.04,
make -j1,0,5358.34,5069.85,255.55,
./validate --no-clean --testsuite-only,0,330.76,4258.12,692.28,THREADS=32
./validate --no-clean --testsuite-only,0,324.21,4021.52,644.51,THREADS=16
./validate --no-clean --testsuite-only,0,395.64,2540.73,399.46,THREADS=8
./validate --no-clean --testsuite-only,0,578.28,1882.99,294.22,THREADS=4
./validate --no-clean --testsuite-only,0,997.21,1642.48,253.48,THREADS=2
./validate --no-clean --testsuite-only,0,1851.94,1510.89,231.42,THREADS=1
