command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j64,0,377.14,1102.61,147.74,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j32,0,376.03,1103.73,149.61,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j16,0,378.59,1074.75,140.02,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j8,0,386.44,1035.39,123.36,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j4,0,398.72,993.04,112.51,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j2,0,488.20,962.31,109.53,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j64 -j1,0,737.47,942.42,105.80,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j64,0,375.91,1136.76,127.43,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j32,0,375.59,1139.68,127.60,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j16,0,377.97,1115.52,117.33,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j8,0,382.29,1062.40,101.59,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j4,0,395.90,1016.71,100.77,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j2,0,483.58,990.09,90.99,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j32 -j1,0,722.07,971.38,86.65,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j64,0,375.95,1201.95,114.61,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j32,0,377.01,1202.59,112.46,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j16,0,377.10,1156.63,101.63,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j8,0,383.03,1111.70,90.40,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j4,0,399.90,1068.13,85.51,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j2,0,481.70,1035.56,82.66,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j16 -j1,0,719.51,1018.01,79.74,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j64,0,381.60,1270.15,110.33,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j32,0,380.32,1268.38,112.42,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j16,0,382.18,1229.58,100.57,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j8,0,389.07,1173.15,91.51,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j4,0,400.73,1125.52,86.53,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j2,0,488.91,1094.03,82.05,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j8 -j1,0,726.82,1083.98,79.00,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j64,0,389.92,1220.26,95.85,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j32,0,389.60,1218.27,98.35,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j16,0,388.49,1168.50,84.24,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j8,0,398.10,1128.02,78.86,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j4,0,407.96,1080.13,74.39,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j2,0,497.66,1053.40,75.38,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j4 -j1,0,748.78,1042.34,68.57,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j64,0,413.82,1142.81,79.80,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j32,0,407.46,1132.40,79.85,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j16,0,409.84,1099.60,72.15,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j8,0,414.52,1066.18,67.08,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j4,0,436.09,1028.61,62.16,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j2,0,523.98,991.72,62.64,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j2 -j1,0,798.60,985.51,59.36,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j64,0,475.94,1015.09,64.38,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j32,0,473.70,1016.18,63.14,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j16,0,477.33,990.59,59.22,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j8,0,477.82,955.81,54.92,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j4,0,496.70,926.97,52.05,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j2,0,624.92,904.17,51.92,
cabal new-build clash-ghc --ghc-options=+RTS -qn8 -A32M -RTS -j1 -j1,0,949.85,894.37,48.83,
cabal new-run -- testsuite -p clash -j64,0,80.02,4428.34,449.75,
cabal new-run -- testsuite -p clash -j32,0,64.84,1865.91,188.56,
cabal new-run -- testsuite -p clash -j16,0,78.83,1163.26,119.51,
cabal new-run -- testsuite -p clash -j8,0,122.72,923.85,95.28,
cabal new-run -- testsuite -p clash -j4,0,222.22,919.83,96.73,
cabal new-run -- testsuite -p clash -j2,0,434.20,1180.08,133.72,
cabal new-run -- testsuite -p clash -j1,0,866.13,1511.46,152.97,
cabal new-install stack-1.9.3 -j64,1,121.57,1448.95,315.50,GHC_THREADS=64
cabal new-install stack-1.9.3 -j32,0,332.46,2049.26,343.87,GHC_THREADS=64
cabal new-install stack-1.9.3 -j16,0,332.83,1874.18,281.78,GHC_THREADS=64
cabal new-install stack-1.9.3 -j8,0,335.17,1754.79,238.02,GHC_THREADS=64
cabal new-install stack-1.9.3 -j4,0,415.59,1607.18,211.11,GHC_THREADS=64
cabal new-install stack-1.9.3 -j2,0,618.47,1511.57,194.33,GHC_THREADS=64
cabal new-install stack-1.9.3 -j1,0,1064.61,1474.11,182.16,GHC_THREADS=64
cabal new-install stack-1.9.3 -j64,0,330.07,2179.51,327.10,GHC_THREADS=32
cabal new-install stack-1.9.3 -j32,0,332.18,2154.61,296.43,GHC_THREADS=32
cabal new-install stack-1.9.3 -j16,0,330.08,1960.66,234.16,GHC_THREADS=32
cabal new-install stack-1.9.3 -j8,0,329.23,1821.04,198.09,GHC_THREADS=32
cabal new-install stack-1.9.3 -j4,0,409.93,1675.00,171.86,GHC_THREADS=32
cabal new-install stack-1.9.3 -j2,0,605.88,1567.24,160.21,GHC_THREADS=32
cabal new-install stack-1.9.3 -j1,0,1036.40,1534.05,147.54,GHC_THREADS=32
cabal new-install stack-1.9.3 -j64,0,338.17,2328.25,285.90,GHC_THREADS=16
cabal new-install stack-1.9.3 -j32,0,337.39,2271.04,256.02,GHC_THREADS=16
cabal new-install stack-1.9.3 -j16,0,337.65,2068.46,204.36,GHC_THREADS=16
cabal new-install stack-1.9.3 -j8,0,331.98,1908.73,173.35,GHC_THREADS=16
cabal new-install stack-1.9.3 -j4,0,409.57,1760.71,156.86,GHC_THREADS=16
cabal new-install stack-1.9.3 -j2,0,603.42,1656.33,149.11,GHC_THREADS=16
cabal new-install stack-1.9.3 -j1,0,1037.57,1630.63,134.98,GHC_THREADS=16
cabal new-install stack-1.9.3 -j64,0,344.48,2414.91,275.96,GHC_THREADS=8
cabal new-install stack-1.9.3 -j32,0,346.72,2379.04,250.18,GHC_THREADS=8
cabal new-install stack-1.9.3 -j16,0,339.10,2172.43,201.54,GHC_THREADS=8
cabal new-install stack-1.9.3 -j8,0,339.08,2008.38,169.75,GHC_THREADS=8
cabal new-install stack-1.9.3 -j4,0,410.31,1844.92,150.57,GHC_THREADS=8
cabal new-install stack-1.9.3 -j2,0,610.25,1760.60,148.31,GHC_THREADS=8
cabal new-install stack-1.9.3 -j1,0,1047.24,1737.96,135.69,GHC_THREADS=8
cabal new-install stack-1.9.3 -j64,0,363.08,2280.48,228.97,GHC_THREADS=4
cabal new-install stack-1.9.3 -j32,0,359.80,2198.16,200.23,GHC_THREADS=4
cabal new-install stack-1.9.3 -j16,0,351.07,2010.15,158.20,GHC_THREADS=4
cabal new-install stack-1.9.3 -j8,0,350.25,1877.54,136.25,GHC_THREADS=4
cabal new-install stack-1.9.3 -j4,0,413.48,1724.66,121.99,GHC_THREADS=4
cabal new-install stack-1.9.3 -j2,0,627.38,1650.55,120.47,GHC_THREADS=4
cabal new-install stack-1.9.3 -j1,0,1075.28,1624.29,111.33,GHC_THREADS=4
cabal new-install stack-1.9.3 -j64,0,396.78,2056.86,184.94,GHC_THREADS=2
cabal new-install stack-1.9.3 -j32,0,392.14,1985.97,159.20,GHC_THREADS=2
cabal new-install stack-1.9.3 -j16,0,389.53,1839.06,127.71,GHC_THREADS=2
cabal new-install stack-1.9.3 -j8,0,387.59,1716.34,110.18,GHC_THREADS=2
cabal new-install stack-1.9.3 -j4,0,440.48,1587.76,102.76,GHC_THREADS=2
cabal new-install stack-1.9.3 -j2,0,676.60,1531.45,100.78,GHC_THREADS=2
cabal new-install stack-1.9.3 -j1,0,1170.97,1510.76,96.30,GHC_THREADS=2
cabal new-install stack-1.9.3 -j64,0,531.75,1751.01,142.20,GHC_THREADS=1
cabal new-install stack-1.9.3 -j32,0,521.50,1674.88,119.68,GHC_THREADS=1
cabal new-install stack-1.9.3 -j16,0,521.32,1575.19,100.63,GHC_THREADS=1
cabal new-install stack-1.9.3 -j8,0,513.98,1493.71,90.59,GHC_THREADS=1
cabal new-install stack-1.9.3 -j4,0,548.84,1420.11,85.69,GHC_THREADS=1
cabal new-install stack-1.9.3 -j2,0,839.79,1378.49,83.57,GHC_THREADS=1
cabal new-install stack-1.9.3 -j1,0,1443.92,1361.41,78.36,GHC_THREADS=1

