command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j12 -j12,0,731.34,5627.77,923.75,
cabal new-build clash-ghc --ghc-options=-j12 -j8,0,745.20,5810.84,950.98,
cabal new-build clash-ghc --ghc-options=-j12 -j6,0,756.15,5910.45,986.65,
cabal new-build clash-ghc --ghc-options=-j12 -j4,0,736.60,5748.71,999.60,
cabal new-build clash-ghc --ghc-options=-j12 -j3,0,620.01,4143.02,953.08,
cabal new-build clash-ghc --ghc-options=-j12 -j2,0,533.31,2606.46,901.11,
cabal new-build clash-ghc --ghc-options=-j12 -j1,0,609.31,1326.03,864.78,
cabal new-build clash-ghc --ghc-options=-j8 -j12,0,499.20,3037.60,547.50,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,504.35,3078.98,568.55,
cabal new-build clash-ghc --ghc-options=-j8 -j6,0,487.01,2907.86,576.37,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,419.34,2038.32,565.19,
cabal new-build clash-ghc --ghc-options=-j8 -j3,0,401.12,1484.24,541.42,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,421.08,1186.30,518.99,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,581.92,994.85,456.31,
cabal new-build clash-ghc --ghc-options=-j6 -j12,0,419.38,2130.85,384.48,
cabal new-build clash-ghc --ghc-options=-j6 -j8,0,414.23,2070.69,399.35,
cabal new-build clash-ghc --ghc-options=-j6 -j6,0,389.24,1759.78,407.14,
cabal new-build clash-ghc --ghc-options=-j6 -j4,0,357.47,1268.25,390.03,
cabal new-build clash-ghc --ghc-options=-j6 -j3,0,364.49,1090.19,366.97,
cabal new-build clash-ghc --ghc-options=-j6 -j2,0,402.12,981.49,352.83,
cabal new-build clash-ghc --ghc-options=-j6 -j1,0,570.78,882.23,300.79,
cabal new-build clash-ghc --ghc-options=-j4 -j12,0,353.78,1364.73,238.83,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,346.29,1241.15,243.59,
cabal new-build clash-ghc --ghc-options=-j4 -j6,0,335.17,1076.50,241.54,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,331.13,966.20,231.32,
cabal new-build clash-ghc --ghc-options=-j4 -j3,0,349.99,908.14,214.59,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,396.60,856.93,199.81,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,569.86,798.65,178.49,
cabal new-build clash-ghc --ghc-options=-j3 -j12,0,333.51,1104.98,167.04,
cabal new-build clash-ghc --ghc-options=-j3 -j8,0,328.88,1019.86,171.16,
