command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j64 -j64,0,1112.09,18152.20,6173.42,
cabal new-build clash-ghc --ghc-options=-j64 -j32,0,1119.50,18398.20,6225.74,
cabal new-build clash-ghc --ghc-options=-j64 -j16,0,1129.40,18420.10,6410.99,
cabal new-build clash-ghc --ghc-options=-j64 -j8,0,1144.18,18730.17,6659.96,
cabal new-build clash-ghc --ghc-options=-j64 -j4,0,1047.74,16138.94,6329.20,
cabal new-build clash-ghc --ghc-options=-j64 -j2,0,859.85,7220.64,5092.84,
cabal new-build clash-ghc --ghc-options=-j64 -j1,0,1159.54,5472.65,5207.00,
cabal new-build clash-ghc --ghc-options=-j32 -j64,0,1082.59,17298.43,6038.61,
cabal new-build clash-ghc --ghc-options=-j32 -j32,0,1067.10,17049.55,5949.54,
cabal new-build clash-ghc --ghc-options=-j32 -j16,0,1083.63,17404.90,6054.61,
cabal new-build clash-ghc --ghc-options=-j32 -j8,0,1112.31,17939.66,6430.75,
cabal new-build clash-ghc --ghc-options=-j32 -j4,0,993.82,14694.85,6100.05,
cabal new-build clash-ghc --ghc-options=-j32 -j2,0,824.09,6667.09,4893.03,
cabal new-build clash-ghc --ghc-options=-j32 -j1,0,1131.29,4953.82,5059.34,
cabal new-build clash-ghc --ghc-options=-j16 -j64,0,651.99,5647.26,2584.81,
cabal new-build clash-ghc --ghc-options=-j16 -j32,0,651.01,5696.62,2580.77,
cabal new-build clash-ghc --ghc-options=-j16 -j16,0,648.45,5665.70,2615.10,
cabal new-build clash-ghc --ghc-options=-j16 -j8,0,626.22,5025.94,2535.43,
cabal new-build clash-ghc --ghc-options=-j16 -j4,0,580.51,3033.49,2302.01,
cabal new-build clash-ghc --ghc-options=-j16 -j2,0,702.74,2631.30,2356.71,
cabal new-build clash-ghc --ghc-options=-j16 -j1,0,1036.42,2453.88,2318.99,
cabal new-build clash-ghc --ghc-options=-j8 -j64,0,515.89,2372.41,1116.61,
cabal new-build clash-ghc --ghc-options=-j8 -j32,0,519.89,2375.30,1120.54,
cabal new-build clash-ghc --ghc-options=-j8 -j16,0,514.08,2261.06,1113.07,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,508.87,1864.39,1074.58,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,527.54,1719.46,1052.65,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,654.03,1690.98,1052.90,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,966.77,1597.57,1004.58,
cabal new-build clash-ghc --ghc-options=-j4 -j64,0,487.58,1579.64,488.75,
cabal new-build clash-ghc --ghc-options=-j4 -j32,0,476.10,1550.47,481.89,
cabal new-build clash-ghc --ghc-options=-j4 -j16,0,479.93,1500.06,483.60,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,486.17,1427.56,458.76,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,506.38,1379.69,442.96,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,629.34,1341.47,439.06,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,941.39,1286.07,418.40,
cabal new-build clash-ghc --ghc-options=-j2 -j64,0,482.03,1339.28,212.64,
cabal new-build clash-ghc --ghc-options=-j2 -j32,0,484.84,1337.21,215.58,
cabal new-build clash-ghc --ghc-options=-j2 -j16,0,475.32,1289.43,198.37,
