command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,656.70,3369.57,553.91,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,628.74,3185.13,593.52,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,503.07,1775.37,546.92,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,582.72,1048.81,514.81,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,399.61,1445.60,228.37,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,353.81,1093.17,233.71,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,392.14,874.83,210.00,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,555.38,781.61,175.19,
cabal new-build clash-ghc --ghc-options=-j2 -j8,0,341.76,941.30,99.43,
cabal new-build clash-ghc --ghc-options=-j2 -j4,0,339.22,845.53,91.85,
cabal new-build clash-ghc --ghc-options=-j2 -j2,0,393.82,740.25,78.03,
cabal new-build clash-ghc --ghc-options=-j2 -j1,0,580.70,700.55,71.80,
cabal new-build clash-ghc --ghc-options=-j1 -j8,0,361.92,821.11,40.49,
cabal new-build clash-ghc --ghc-options=-j1 -j4,0,365.09,709.36,33.69,
cabal new-build clash-ghc --ghc-options=-j1 -j2,0,453.15,660.87,30.59,
cabal new-build clash-ghc --ghc-options=-j1 -j1,0,673.15,639.39,27.27,
cabal new-run -- testsuite -p clash -j8,1,161.80,1182.61,92.14,
cabal new-run -- testsuite -p clash -j4,1,178.26,644.74,63.42,
cabal new-run -- testsuite -p clash -j2,1,296.37,543.97,55.28,
cabal new-run -- testsuite -p clash -j1,1,562.34,538.82,53.54,
cabal new-install stack -j8,1,1115.87,7209.05,983.41,GHC_THREADS=8
cabal new-install stack -j4,1,1060.84,6576.73,1107.99,GHC_THREADS=8
cabal new-install stack -j2,1,729.90,3119.03,976.20,GHC_THREADS=8
cabal new-install stack -j1,1,857.31,1748.99,929.93,GHC_THREADS=8
cabal new-install stack -j8,1,536.77,2993.09,422.12,GHC_THREADS=4
cabal new-install stack -j4,1,449.47,2057.01,447.80,GHC_THREADS=4
cabal new-install stack -j2,1,519.58,1425.01,386.90,GHC_THREADS=4
cabal new-install stack -j1,1,805.72,1236.55,315.02,GHC_THREADS=4
cabal new-install stack -j8,1,372.12,1731.94,189.26,GHC_THREADS=2
cabal new-install stack -j4,1,384.18,1445.31,166.38,GHC_THREADS=2
cabal new-install stack -j2,1,515.54,1157.10,135.66,GHC_THREADS=2
cabal new-install stack -j1,1,850.12,1082.10,120.49,GHC_THREADS=2
cabal new-install stack -j8,1,413.91,1387.30,66.14,GHC_THREADS=1
cabal new-install stack -j4,1,420.06,1122.17,55.36,GHC_THREADS=1
cabal new-install stack -j2,1,603.93,1010.14,48.43,GHC_THREADS=1
cabal new-install stack -j1,1,1013.69,967.68,41.61,GHC_THREADS=1
make -j8,0,1310.44,6285.10,354.25,
make -j4,0,1440.48,4374.56,273.86,
make -j2,0,2146.59,3780.03,231.91,
make -j1,0,3829.79,3592.48,218.02,
./validate --no-clean --testsuite-only,0,338.17,2049.91,301.18,THREADS=8
./validate --no-clean --testsuite-only,0,455.51,1436.06,232.39,THREADS=4
./validate --no-clean --testsuite-only,0,769.14,1206.88,205.27,THREADS=2
./validate --no-clean --testsuite-only,0,1490.87,1202.42,214.71,THREADS=1
