command,exit,real,user,sys,comment
cabal new-build clash-ghc --ghc-options=-j64 -j64,0,1742.63,68587.01,20996.63,
cabal new-build clash-ghc --ghc-options=-j64 -j32,0,1749.57,68768.90,21221.78,
cabal new-build clash-ghc --ghc-options=-j64 -j16,0,1750.39,68676.02,21406.41,
cabal new-build clash-ghc --ghc-options=-j64 -j8,0,1839.43,72971.52,23000.23,
cabal new-build clash-ghc --ghc-options=-j64 -j4,0,1954.74,79142.27,24436.15,
cabal new-build clash-ghc --ghc-options=-j64 -j2,0,1178.91,30840.79,14808.48,
cabal new-build clash-ghc --ghc-options=-j64 -j1,0,1193.62,12256.52,13106.16,
cabal new-build clash-ghc --ghc-options=-j32 -j64,0,819.57,19639.36,7306.48,
cabal new-build clash-ghc --ghc-options=-j32 -j32,0,823.29,19668.08,7298.91,
cabal new-build clash-ghc --ghc-options=-j32 -j16,0,825.98,20135.25,7529.54,
cabal new-build clash-ghc --ghc-options=-j32 -j8,0,843.72,20888.76,7746.74,
cabal new-build clash-ghc --ghc-options=-j32 -j4,0,621.37,8021.53,5494.53,
cabal new-build clash-ghc --ghc-options=-j32 -j2,1,369.04,2948.38,3537.05,
cabal new-build clash-ghc --ghc-options=-j32 -j1,0,1020.65,4082.88,4953.54,
cabal new-build clash-ghc --ghc-options=-j16 -j64,0,529.73,4823.79,2653.27,
cabal new-build clash-ghc --ghc-options=-j16 -j32,0,525.36,4785.49,2641.64,
cabal new-build clash-ghc --ghc-options=-j16 -j16,0,527.59,4873.96,2658.62,
cabal new-build clash-ghc --ghc-options=-j16 -j8,0,497.41,2695.97,2409.88,
cabal new-build clash-ghc --ghc-options=-j16 -j4,0,507.39,2173.35,2301.26,
cabal new-build clash-ghc --ghc-options=-j16 -j2,0,620.50,2130.78,2208.40,
cabal new-build clash-ghc --ghc-options=-j16 -j1,0,930.80,2138.80,2118.81,
cabal new-build clash-ghc --ghc-options=-j8 -j64,0,456.23,1906.95,1083.08,
cabal new-build clash-ghc --ghc-options=-j8 -j32,0,456.56,1926.64,1110.32,
cabal new-build clash-ghc --ghc-options=-j8 -j16,0,451.17,1644.95,1066.56,
cabal new-build clash-ghc --ghc-options=-j8 -j8,0,461.07,1541.60,1016.45,
cabal new-build clash-ghc --ghc-options=-j8 -j4,0,470.55,1480.59,953.38,
cabal new-build clash-ghc --ghc-options=-j8 -j2,0,576.20,1451.44,921.26,
cabal new-build clash-ghc --ghc-options=-j8 -j1,0,871.09,1417.11,914.95,
cabal new-build clash-ghc --ghc-options=-j4 -j64,0,433.61,1378.53,477.84,
cabal new-build clash-ghc --ghc-options=-j4 -j32,0,432.51,1371.28,467.51,
cabal new-build clash-ghc --ghc-options=-j4 -j16,0,432.02,1314.74,444.56,
cabal new-build clash-ghc --ghc-options=-j4 -j8,0,440.86,1257.18,411.15,
cabal new-build clash-ghc --ghc-options=-j4 -j4,0,454.93,1211.81,393.54,
cabal new-build clash-ghc --ghc-options=-j4 -j2,0,559.59,1182.21,381.66,
cabal new-build clash-ghc --ghc-options=-j4 -j1,0,836.53,1141.21,370.41,
cabal new-build clash-ghc --ghc-options=-j2 -j64,0,438.85,1192.62,178.65,
